subclade	alias of	unaliased name	parent
A		A	none
A.1		A.1	A
A.1.1		A.1.1	A.1
B	A.1.1.1	A.1.1.1	A.1.1
B.1		A.1.1.1.1	B
B.2		A.1.1.1.2	B
B.2.1		A.1.1.1.2.1	B.2
B.3		A.1.1.1.3	B
B.3.1		A.1.1.1.3.1	B.3
B.3.1.1		A.1.1.1.3.1.1	B.3.1
B.3.1.2		A.1.1.1.3.1.2	B.3.1
C	B.3.2	A.1.1.1.3.2	B.3
C.1		A.1.1.1.3.2.1	C
C.2		A.1.1.1.3.2.2	C
C.3		A.1.1.1.3.2.3	C
C.4		A.1.1.1.3.2.4	C
C.5		A.1.1.1.3.2.5	C
C.5.1		A.1.1.1.3.2.5.1	C.5
C.5.1.1		A.1.1.1.3.2.5.1.1	C.5.1
C.5.2		A.1.1.1.3.2.5.2	C.5
C.5.3		A.1.1.1.3.2.5.3	C.5
C.5.3.2		A.1.1.1.3.2.5.3.2	C.5.3
C.5.3.3		A.1.1.1.3.2.5.3.3	C.5.3
D	C.5.3.1	A.1.1.1.3.2.5.3.1	C.5.3
D.1		A.1.1.1.3.2.5.3.1.1	D
D.2		A.1.1.1.3.2.5.3.1.2	D
